Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Man City,Ipswich,25-11-2000,Man City,Ipswich,2-3,0-2,2,3,0,2,Ipswich,Ipswich,Yes,L,0,L,W,0,8,0,6,0,14,5.22763,3.63158,5.35737,3.94737,-14
Man United,Derby,25-11-2000,Derby,Man United,0-3,0-0,0,3,0,0,Man United,Draw,Draw,W,2,L,W,0,8,0,3,0,11,6.81657,1.83333,2.29825,7.06805,11
Middlesbrough,Bradford,25-11-2000,Middlesbrough,Bradford,2-2,0-2,2,2,0,2,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,3.09211,1.42105,3.39474,0.94737,0
Southampton,West Ham,25-11-2000,Southampton,West Ham,2-3,1-2,2,3,1,2,West Ham,West Ham,Yes,L,0,L,W,0,8,0,6,0,14,3.30000,3.20641,3.46117,3.03901,-14
Sunderland,Charlton,25-11-2000,Charlton,Sunderland,0-1,0-0,0,1,0,0,Sunderland,Draw,Draw,W,2,L,W,0,8,0,1,0,9,2.46805,3.31955,3.52632,2.35714,9
Tottenham,Leicester,25-11-2000,Tottenham,Leicester,3-0,2-0,3,0,2,0,Tottenham,Tottenham,Yes,W,2,W,L,3,0,8,0,11,0,4.57396,3.27132,4.78402,3.08527,11
West Ham,Southampton,25-11-2000,Southampton,West Ham,2-3,1-2,2,3,1,2,West Ham,West Ham,Yes,W,2,L,W,0,8,0,6,0,14,3.20641,3.30000,3.46117,3.03901,14
Arsenal,Leeds,26-11-2000,Leeds,Arsenal,1-0,0-0,1,0,0,0,Leeds,Draw,Draw,L,0,W,L,3,0,1,0,4,0,6.11391,4.25658,3.52632,6.36982,-4
Leeds,Arsenal,26-11-2000,Leeds,Arsenal,1-0,0-0,1,0,0,0,Leeds,Draw,Draw,W,2,W,L,3,0,1,0,4,0,4.25658,6.11391,3.52632,6.36982,4
Liverpool,Newcastle,26-11-2000,Newcastle,Liverpool,2-1,1-0,2,1,1,0,Newcastle,Newcastle,Yes,L,0,W,L,3,0,6,0,9,0,5.61095,3.47167,3.78333,5.82840,-9
